date,open,high,low,close,volume
2025-03-27,1.07528,1.08209,1.07324,1.08006,217000
2025-03-28,1.08006,1.08444,1.07634,1.08217,192000
2025-03-31,1.08175,1.08490,1.07836,1.08147,242000
2025-04-01,1.08147,1.08297,1.07779,1.07925,213000
